temp,feels_like,temp_min,temp_max,pressure,humidity,clouds,wind_speed,wind_deg,weather_now,weather_next_hour
290.52,290.77,290.52,290.52,1007,94,100,3.42,88,Clouds,0
291.52,290.59,291.52,291.52,1029,45,1,4.23,55,Clear,0
290.52,289.96,290.52,290.52,1019,63,4,2.42,178,Clear,0
298.52,298.29,298.52,298.52,1003,45,81,4.74,279,Clouds,0
287.52,286.24,287.52,287.52,1029,47,0,5.44,61,Clear,0
290.52,290.74,290.52,290.52,1007,93,53,1.64,342,Clouds,0
300.52,300.79,300.52,300.52,1023,48,11,4.78,265,Clouds,0
295.52,294.99,295.52,295.52,1017,45,0,5.9,11,Clear,0
289.52,289.25,289.52,289.52,1018,78,86,0.81,41,Clouds,0
288.44,287.9,288.44,288.44,1005,72,100,5.25,327,Clouds,0
298.52,298.86,298.52,298.52,1001,67,57,4.96,344,Clouds,0
